取引先コード,得意先名,取引日付,取引区分,伝票番号,行,商品コード,商品名,数量,単価,金額
0036,㈱丸多商店,2005/07/26,10,268,1,0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,14,10050,140700
0036,㈱丸多商店,2005/07/26,10,268,2,0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,3,9210,27630
0036,㈱丸多商店,2005/07/26,10,268,3,0095,一般家電－－－－－－－－－－－－－－－－－００９５,16,7850,125600
0036,㈱丸多商店,2005/07/26,10,268,4,0062,家具－－－－－－－－－－－－－－－－－－－００６２,16,2850,45600
0010,㈱杉尾システム,2005/06/24,10,269,1,0072,一般衣類－－－－－－－－－－－－－－－－－００７２,6,7050,42300
0010,㈱杉尾システム,2005/06/24,10,269,2,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,3,9640,28920
0010,㈱杉尾システム,2005/06/24,10,269,3,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,7,3640,25480
0010,㈱杉尾システム,2005/06/24,10,269,4,0094,果物－－－－－－－－－－－－－－－－－－－００９４,1,1330,1330
0039,株式会社森本商店,2005/08/10,10,270,1,0082,発泡酒－－－－－－－－－－－－－－－－－－００８２,1,8130,8130
0039,株式会社森本商店,2005/08/10,10,270,2,0006,一般家電－－－－－－－－－－－－－－－－－０００６,5,6030,30150
0039,株式会社森本商店,2005/08/10,10,270,3,0016,一般衣類－－－－－－－－－－－－－－－－－００１６,15,5310,79650
0012,株式会社木吉建設,2005/08/24,10,271,1,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,7,9760,68320
0012,株式会社木吉建設,2005/08/24,10,271,2,0089,一般家電－－－－－－－－－－－－－－－－－００８９,7,5650,39550
0049,株式会社野安システム,2005/06/19,10,272,1,0051,魚－－－－－－－－－－－－－－－－－－－－００５１,2,2250,4500
0049,株式会社野安システム,2005/06/19,10,272,2,0034,清涼飲料水－－－－－－－－－－－－－－－－００３４,15,400,6000
0049,株式会社野安システム,2005/06/19,10,272,3,0061,米－－－－－－－－－－－－－－－－－－－－００６１,10,7120,71200
0049,株式会社野安システム,2005/06/19,10,272,4,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,19,3640,69160
0001,村浦コーポレーション株式会社,2005/08/04,10,273,1,0013,一般衣類－－－－－－－－－－－－－－－－－００１３,8,8420,67360
0042,㈱川鈴商店,2005/08/21,10,274,1,0024,電池－－－－－－－－－－－－－－－－－－－００２４,8,8370,66960
0021,原安コーポレーション株式会社,2005/06/17,10,275,1,0036,一般家電－－－－－－－－－－－－－－－－－００３６,9,9150,82350
0044,㈱丸内コーポレーション,2005/06/10,10,276,1,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,10,4020,40200
0044,㈱丸内コーポレーション,2005/06/10,10,276,2,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,1,3480,3480
0044,㈱丸内コーポレーション,2005/06/10,10,276,3,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,14,6820,95480
0044,㈱丸内コーポレーション,2005/06/10,10,276,4,0084,ドリンク－－－－－－－－－－－－－－－－－００８４,7,4940,34580
0010,㈱杉尾システム,2005/08/30,10,277,1,0093,アウトドア用品－－－－－－－－－－－－－－００９３,11,2960,32560
0010,㈱杉尾システム,2005/08/30,10,277,2,0031,パソコン周辺機器－－－－－－－－－－－－－００３１,12,5020,60240
0010,㈱杉尾システム,2005/08/30,10,277,3,0068,カー用品－－－－－－－－－－－－－－－－－００６８,11,6820,75020
0010,㈱杉尾システム,2005/08/30,10,277,4,0001,スポーツ用品－－－－－－－－－－－－－－－０００１,19,8820,167580
0046,本村商事株式会社,2005/08/06,10,278,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,17,5850,99450
0016,株式会社本中システム,2005/06/12,10,279,1,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,20,4320,86400
0026,㈱丸浦建設,2005/07/02,10,280,1,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,2,7170,14340
0031,㈱松内建設,2005/06/18,10,281,1,0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,3,2300,6900
0031,㈱松内建設,2005/06/18,10,281,2,0093,アウトドア用品－－－－－－－－－－－－－－００９３,14,2960,41440
0031,㈱松内建設,2005/06/18,10,281,3,0022,野菜－－－－－－－－－－－－－－－－－－－００２２,14,9670,135380
0031,㈱松内建設,2005/06/18,10,281,4,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,9,3650,32850
0027,株式会社村安商事,2005/06/13,10,282,1,0017,インスタントラーメン－－－－－－－－－－－００１７,5,9810,49050
0027,株式会社村安商事,2005/06/13,10,282,2,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,4,3480,13920
0027,株式会社村安商事,2005/06/13,10,282,3,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,6,10010,60060
0044,㈱丸内コーポレーション,2005/08/12,10,283,1,0062,家具－－－－－－－－－－－－－－－－－－－００６２,5,2850,14250
0044,㈱丸内コーポレーション,2005/08/12,10,283,2,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,17,9640,163880
0044,㈱丸内コーポレーション,2005/08/12,10,283,3,0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,18,2330,41940
0004,㈱中鈴商店,2005/07/20,10,284,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,16,3650,58400
0004,㈱中鈴商店,2005/07/20,10,284,2,0046,スポーツ用品－－－－－－－－－－－－－－－００４６,13,3880,50440
0013,原本商店株式会社,2005/09/03,10,285,1,0046,スポーツ用品－－－－－－－－－－－－－－－００４６,2,3880,7760
0013,原本商店株式会社,2005/09/03,10,285,2,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,5,8770,43850
0050,原多建設株式会社,2005/07/24,10,286,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,10,3650,36500
0050,原多建設株式会社,2005/07/24,10,286,2,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,5,1420,7100
0048,岡原コーポレーション株式会社,2005/06/26,10,287,1,0087,ドリンク－－－－－－－－－－－－－－－－－００８７,14,4030,56420
0048,岡原コーポレーション株式会社,2005/06/26,10,287,2,0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,10,6250,62500
0048,岡原コーポレーション株式会社,2005/06/26,10,287,3,0040,パソコン本体－－－－－－－－－－－－－－－００４０,4,4730,18920
0048,岡原コーポレーション株式会社,2005/06/26,10,287,4,0040,パソコン本体－－－－－－－－－－－－－－－００４０,11,4730,52030
0045,株式会社野松建設,2005/06/21,10,288,1,0087,ドリンク－－－－－－－－－－－－－－－－－００８７,10,4030,40300
0045,株式会社野松建設,2005/06/21,10,288,2,0070,パソコン周辺機器－－－－－－－－－－－－－００７０,3,8640,25920
0045,株式会社野松建設,2005/06/21,10,288,3,0077,パソコン本体－－－－－－－－－－－－－－－００７７,15,8350,125250
0045,株式会社野松建設,2005/06/21,10,288,4,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,12,4320,51840
0006,㈱山野商店,2005/06/10,10,289,1,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,10,3480,34800
0025,山高商店株式会社,2005/06/20,10,290,1,0086,インスタントラーメン－－－－－－－－－－－００８６,15,10140,152100
0025,山高商店株式会社,2005/06/20,10,290,2,0009,果物－－－－－－－－－－－－－－－－－－－０００９,6,5300,31800
0010,㈱杉尾システム,2005/06/28,10,291,1,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,17,4790,81430
0010,㈱杉尾システム,2005/06/28,10,291,2,0083,電池－－－－－－－－－－－－－－－－－－－００８３,7,2350,16450
0010,㈱杉尾システム,2005/06/28,10,291,3,0059,一般家電－－－－－－－－－－－－－－－－－００５９,20,7920,158400
0010,㈱杉尾システム,2005/06/28,10,291,4,0077,パソコン本体－－－－－－－－－－－－－－－００７７,10,8350,83500
0006,㈱山野商店,2005/07/27,10,292,1,0095,一般家電－－－－－－－－－－－－－－－－－００９５,18,7850,141300
0006,㈱山野商店,2005/07/27,10,292,2,0017,インスタントラーメン－－－－－－－－－－－００１７,16,9810,156960
0006,㈱山野商店,2005/07/27,10,292,3,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,5,7170,35850
0008,株式会社杉尾コーポレーション,2005/08/19,10,293,1,0070,パソコン周辺機器－－－－－－－－－－－－－００７０,11,8640,95040
0008,株式会社杉尾コーポレーション,2005/08/19,10,293,2,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,15,4020,60300
0008,株式会社杉尾コーポレーション,2005/08/19,10,293,3,0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,8,2970,23760
0004,㈱中鈴商店,2005/08/02,10,294,1,0053,電池－－－－－－－－－－－－－－－－－－－００５３,6,1010,6060
0004,㈱中鈴商店,2005/08/02,10,294,2,0093,アウトドア用品－－－－－－－－－－－－－－００９３,8,2960,23680
0049,株式会社野安システム,2005/07/07,10,295,1,0075,化粧品－－－－－－－－－－－－－－－－－－００７５,16,5910,94560
0049,株式会社野安システム,2005/07/07,10,295,2,0056,電池－－－－－－－－－－－－－－－－－－－００５６,12,7240,86880
0049,株式会社野安システム,2005/07/07,10,295,3,0081,パソコンサプライ－－－－－－－－－－－－－００８１,14,4440,62160
0025,山高商店株式会社,2005/09/04,10,296,1,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,16,3480,55680
0025,山高商店株式会社,2005/09/04,10,296,2,0075,化粧品－－－－－－－－－－－－－－－－－－００７５,1,5910,5910
0025,山高商店株式会社,2005/09/04,10,296,3,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,8,7030,56240
0025,山高商店株式会社,2005/09/04,10,296,4,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,16,9640,154240
0045,株式会社野松建設,2005/08/10,10,297,1,0079,果物－－－－－－－－－－－－－－－－－－－００７９,5,3280,16400
0045,株式会社野松建設,2005/08/10,10,297,2,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,10,9640,96400
0007,村岡システム株式会社,2005/07/28,10,298,1,0079,果物－－－－－－－－－－－－－－－－－－－００７９,17,3280,55760
0007,村岡システム株式会社,2005/07/28,10,298,2,0012,家具－－－－－－－－－－－－－－－－－－－００１２,15,2360,35400
0007,村岡システム株式会社,2005/07/28,10,298,3,0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,1,9210,9210
0050,原多建設株式会社,2005/07/16,10,299,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,12,5850,70200
0050,原多建設株式会社,2005/07/16,10,299,2,0059,一般家電－－－－－－－－－－－－－－－－－００５９,12,7920,95040
0050,原多建設株式会社,2005/07/16,10,299,3,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,16,1420,22720
0050,原多建設株式会社,2005/07/16,10,299,4,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,8,7030,56240
0015,㈱尾鈴商事,2005/08/10,10,300,1,0095,一般家電－－－－－－－－－－－－－－－－－００９５,2,7850,15700
0015,㈱尾鈴商事,2005/08/10,10,300,2,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,11,4750,52250
0015,㈱尾鈴商事,2005/08/10,10,300,3,0028,風邪薬－－－－－－－－－－－－－－－－－－００２８,13,1780,23140
0006,㈱山野商店,2005/07/15,10,301,1,0081,パソコンサプライ－－－－－－－－－－－－－００８１,13,4440,57720
0006,㈱山野商店,2005/07/15,10,301,2,0041,電池－－－－－－－－－－－－－－－－－－－００４１,4,4430,17720
0006,㈱山野商店,2005/07/15,10,301,3,0091,一般家電－－－－－－－－－－－－－－－－－００９１,2,5380,10760
0024,山鈴商事株式会社,2005/06/06,10,302,1,0052,酒－－－－－－－－－－－－－－－－－－－－００５２,10,3360,33600
0024,山鈴商事株式会社,2005/06/06,10,302,2,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,18,4750,85500
0024,山鈴商事株式会社,2005/06/06,10,302,3,0084,ドリンク－－－－－－－－－－－－－－－－－００８４,8,4940,39520
0050,原多建設株式会社,2005/07/25,10,303,1,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,20,8770,175400
0009,㈱高野建設,2005/08/27,10,304,1,0041,電池－－－－－－－－－－－－－－－－－－－００４１,15,4430,66450
0009,㈱高野建設,2005/08/27,10,304,2,0046,スポーツ用品－－－－－－－－－－－－－－－００４６,20,3880,77600
0009,㈱高野建設,2005/08/27,10,304,3,0014,ゲーム機－－－－－－－－－－－－－－－－－００１４,15,7100,106500
0009,㈱高野建設,2005/08/27,10,304,4,0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,11,2330,25630
0016,株式会社本中システム,2005/08/11,10,305,1,0024,電池－－－－－－－－－－－－－－－－－－－００２４,18,8370,150660
0016,株式会社本中システム,2005/08/11,10,305,2,0032,パソコン本体－－－－－－－－－－－－－－－００３２,8,4660,37280
0016,株式会社本中システム,2005/08/11,10,305,3,0080,パソコンサプライ－－－－－－－－－－－－－００８０,14,7460,104440
0026,㈱丸浦建設,2005/08/02,10,306,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,1,3650,3650
0026,㈱丸浦建設,2005/08/02,10,306,2,0052,酒－－－－－－－－－－－－－－－－－－－－００５２,4,3360,13440
0010,㈱杉尾システム,2005/08/03,10,307,1,0068,カー用品－－－－－－－－－－－－－－－－－００６８,5,6820,34100
0041,野吉システム株式会社,2005/06/20,10,308,1,0045,米－－－－－－－－－－－－－－－－－－－－００４５,18,7260,130680
0027,株式会社村安商事,2005/06/12,10,309,1,0079,果物－－－－－－－－－－－－－－－－－－－００７９,1,3280,3280
0027,株式会社村安商事,2005/06/12,10,309,2,0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,2,6250,12500
0027,株式会社村安商事,2005/06/12,10,309,3,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,10,9760,97600
0027,株式会社村安商事,2005/06/12,10,309,4,0045,米－－－－－－－－－－－－－－－－－－－－００４５,14,7260,101640
0046,本村商事株式会社,2005/08/11,10,310,1,0012,家具－－－－－－－－－－－－－－－－－－－００１２,5,2360,11800
0046,本村商事株式会社,2005/08/11,10,310,2,0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,5,6250,31250
0046,本村商事株式会社,2005/08/11,10,310,3,0095,一般家電－－－－－－－－－－－－－－－－－００９５,9,7850,70650
0046,本村商事株式会社,2005/08/11,10,310,4,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,19,1420,26980
0021,原安コーポレーション株式会社,2005/06/14,10,311,1,0061,米－－－－－－－－－－－－－－－－－－－－００６１,20,7120,142400
0015,㈱尾鈴商事,2005/07/03,10,312,1,0035,照明－－－－－－－－－－－－－－－－－－－００３５,15,2050,30750
0034,㈱田村コーポレーション,2005/09/09,10,313,1,0044,パン－－－－－－－－－－－－－－－－－－－００４４,11,6500,71500
0034,㈱田村コーポレーション,2005/09/09,10,313,2,0027,魚－－－－－－－－－－－－－－－－－－－－００２７,1,9240,9240
0034,㈱田村コーポレーション,2005/09/09,10,313,3,0079,果物－－－－－－－－－－－－－－－－－－－００７９,17,3280,55760
0034,㈱田村コーポレーション,2005/09/09,10,313,4,0045,米－－－－－－－－－－－－－－－－－－－－００４５,7,7260,50820
0041,野吉システム株式会社,2005/08/14,10,314,1,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,12,4230,50760
0016,株式会社本中システム,2005/07/12,10,315,1,0073,パソコン本体－－－－－－－－－－－－－－－００７３,4,780,3120
0016,株式会社本中システム,2005/07/12,10,315,2,0052,酒－－－－－－－－－－－－－－－－－－－－００５２,7,3360,23520
0008,株式会社杉尾コーポレーション,2005/08/19,10,316,1,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,19,4790,91010
0008,株式会社杉尾コーポレーション,2005/08/19,10,316,2,0062,家具－－－－－－－－－－－－－－－－－－－００６２,17,2850,48450
0008,株式会社杉尾コーポレーション,2005/08/19,10,316,3,0039,パン－－－－－－－－－－－－－－－－－－－００３９,8,7440,59520
0040,本内コーポレーション株式会社,2005/08/04,10,317,1,0036,一般家電－－－－－－－－－－－－－－－－－００３６,10,9150,91500
0040,本内コーポレーション株式会社,2005/08/04,10,317,2,0039,パン－－－－－－－－－－－－－－－－－－－００３９,17,7440,126480
0011,本木コーポレーション株式会社,2005/06/07,10,318,1,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,2,1420,2840
0011,本木コーポレーション株式会社,2005/06/07,10,318,2,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,15,4320,64800
0011,本木コーポレーション株式会社,2005/06/07,10,318,3,0076,ゲームソフト－－－－－－－－－－－－－－－００７６,18,9800,176400
0003,川田システム株式会社,2005/07/09,10,319,1,0064,米－－－－－－－－－－－－－－－－－－－－００６４,6,5200,31200
0025,山高商店株式会社,2005/08/28,10,320,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,18,5850,105300
0025,山高商店株式会社,2005/08/28,10,320,2,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,13,4230,54990
0005,尾吉商事株式会社,2005/08/22,10,321,1,0004,パン－－－－－－－－－－－－－－－－－－－０００４,12,2180,26160
0005,尾吉商事株式会社,2005/08/22,10,321,2,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,2,10010,20020
0005,尾吉商事株式会社,2005/08/22,10,321,3,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,19,7030,133570
0005,尾吉商事株式会社,2005/08/22,10,321,4,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,14,7170,100380
0008,株式会社杉尾コーポレーション,2005/06/25,10,322,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,7,5850,40950
0008,株式会社杉尾コーポレーション,2005/06/25,10,322,2,0073,パソコン本体－－－－－－－－－－－－－－－００７３,6,780,4680
0010,㈱杉尾システム,2005/07/24,10,323,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,18,3650,65700
0010,㈱杉尾システム,2005/07/24,10,323,2,0080,パソコンサプライ－－－－－－－－－－－－－００８０,18,7460,134280
0047,株式会社尾浦商事,2005/08/31,10,324,1,0040,パソコン本体－－－－－－－－－－－－－－－００４０,20,4730,94600
0047,株式会社尾浦商事,2005/08/31,10,324,2,0092,パン－－－－－－－－－－－－－－－－－－－００９２,3,8280,24840
0047,株式会社尾浦商事,2005/08/31,10,324,3,0093,アウトドア用品－－－－－－－－－－－－－－００９３,18,2960,53280
0042,㈱川鈴商店,2005/06/01,10,325,1,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,12,4020,48240
0042,㈱川鈴商店,2005/06/01,10,325,2,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,19,4020,76380
0049,株式会社野安システム,2005/08/07,10,326,1,0017,インスタントラーメン－－－－－－－－－－－００１７,6,9810,58860
0049,株式会社野安システム,2005/08/07,10,326,2,0032,パソコン本体－－－－－－－－－－－－－－－００３２,5,4660,23300
0041,野吉システム株式会社,2005/08/21,10,327,1,0074,インスタントラーメン－－－－－－－－－－－００７４,1,9800,9800
0041,野吉システム株式会社,2005/08/21,10,327,2,0022,野菜－－－－－－－－－－－－－－－－－－－００２２,8,9670,77360
0041,野吉システム株式会社,2005/08/21,10,327,3,0085,野菜－－－－－－－－－－－－－－－－－－－００８５,1,8890,8890
0045,株式会社野松建設,2005/07/21,10,328,1,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,8,9640,77120
0045,株式会社野松建設,2005/07/21,10,328,2,0040,パソコン本体－－－－－－－－－－－－－－－００４０,2,4730,9460
0045,株式会社野松建設,2005/07/21,10,328,3,0099,ゲーム機－－－－－－－－－－－－－－－－－００９９,3,7590,22770
0047,株式会社尾浦商事,2005/06/15,10,329,1,0004,パン－－－－－－－－－－－－－－－－－－－０００４,16,2180,34880
0047,株式会社尾浦商事,2005/06/15,10,329,2,0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,10,9210,92100
0048,岡原コーポレーション株式会社,2005/08/04,10,330,1,0079,果物－－－－－－－－－－－－－－－－－－－００７９,11,3280,36080
0048,岡原コーポレーション株式会社,2005/08/04,10,330,2,0027,魚－－－－－－－－－－－－－－－－－－－－００２７,8,9240,73920
0048,岡原コーポレーション株式会社,2005/08/04,10,330,3,0035,照明－－－－－－－－－－－－－－－－－－－００３５,5,2050,10250
0048,岡原コーポレーション株式会社,2005/08/04,10,330,4,0040,パソコン本体－－－－－－－－－－－－－－－００４０,14,4730,66220
0022,㈱川浦商事,2005/08/16,10,331,1,0045,米－－－－－－－－－－－－－－－－－－－－００４５,16,7260,116160
0022,㈱川浦商事,2005/08/16,10,331,2,0058,冷凍食品－－－－－－－－－－－－－－－－－００５８,14,9710,135940
0002,㈱木田商店,2005/06/12,10,332,1,0027,魚－－－－－－－－－－－－－－－－－－－－００２７,3,9240,27720
0002,㈱木田商店,2005/06/12,10,332,2,0002,果物－－－－－－－－－－－－－－－－－－－０００２,14,3040,42560
0024,山鈴商事株式会社,2005/07/27,10,333,1,0011,スポーツ用品－－－－－－－－－－－－－－－００１１,9,680,6120
0024,山鈴商事株式会社,2005/07/27,10,333,2,0069,米－－－－－－－－－－－－－－－－－－－－００６９,14,5150,72100
0044,㈱丸内コーポレーション,2005/06/05,10,334,1,0056,電池－－－－－－－－－－－－－－－－－－－００５６,12,7240,86880
0044,㈱丸内コーポレーション,2005/06/05,10,334,2,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,10,4790,47900
0044,㈱丸内コーポレーション,2005/06/05,10,334,3,0037,米－－－－－－－－－－－－－－－－－－－－００３７,8,5850,46800
0007,村岡システム株式会社,2005/06/05,10,335,1,0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,18,6250,112500
0008,株式会社杉尾コーポレーション,2005/06/26,10,336,1,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,14,4020,56280
0017,株式会社丸中システム,2005/08/09,10,337,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,1,3650,3650
0017,株式会社丸中システム,2005/08/09,10,337,2,0047,清涼飲料水－－－－－－－－－－－－－－－－００４７,11,8740,96140
0043,㈱高安商店,2005/08/04,10,338,1,0031,パソコン周辺機器－－－－－－－－－－－－－００３１,15,5020,75300
0040,本内コーポレーション株式会社,2005/07/20,10,339,1,0008,電池－－－－－－－－－－－－－－－－－－－０００８,20,610,12200
0014,㈱岡鈴商事,2005/08/28,10,340,1,0092,パン－－－－－－－－－－－－－－－－－－－００９２,6,8280,49680
0015,㈱尾鈴商事,2005/08/28,10,341,1,0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,9,9210,82890
0015,㈱尾鈴商事,2005/08/28,10,341,2,0093,アウトドア用品－－－－－－－－－－－－－－００９３,4,2960,11840
0015,㈱尾鈴商事,2005/08/28,10,341,3,0079,果物－－－－－－－－－－－－－－－－－－－００７９,17,3280,55760
0015,㈱尾鈴商事,2005/07/04,10,342,1,0028,風邪薬－－－－－－－－－－－－－－－－－－００２８,2,1780,3560
0015,㈱尾鈴商事,2005/07/04,10,342,2,0012,家具－－－－－－－－－－－－－－－－－－－００１２,8,2360,18880
0015,㈱尾鈴商事,2005/07/04,10,342,3,0030,ゲーム機－－－－－－－－－－－－－－－－－００３０,12,9230,110760
0015,㈱尾鈴商事,2005/07/04,10,342,4,0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,14,2300,32200
0048,岡原コーポレーション株式会社,2005/06/21,10,343,1,0077,パソコン本体－－－－－－－－－－－－－－－００７７,15,8350,125250
0048,岡原コーポレーション株式会社,2005/06/21,10,343,2,0010,貴金属－－－－－－－－－－－－－－－－－－００１０,13,580,7540
0048,岡原コーポレーション株式会社,2005/06/21,10,343,3,0081,パソコンサプライ－－－－－－－－－－－－－００８１,19,4440,84360
0048,岡原コーポレーション株式会社,2005/06/21,10,343,4,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,1,4790,4790
0010,㈱杉尾システム,2005/08/13,10,344,1,0099,ゲーム機－－－－－－－－－－－－－－－－－００９９,11,7590,83490
0010,㈱杉尾システム,2005/08/13,10,344,2,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,3,6820,20460
0037,株式会社浦安コーポレーション,2005/08/30,10,345,1,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,8,9760,78080
0037,株式会社浦安コーポレーション,2005/08/30,10,345,2,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,20,4230,84600
0037,株式会社浦安コーポレーション,2005/08/30,10,345,3,0032,パソコン本体－－－－－－－－－－－－－－－００３２,6,4660,27960
0037,株式会社浦安コーポレーション,2005/08/30,10,345,4,0037,米－－－－－－－－－－－－－－－－－－－－００３７,4,5850,23400
0002,㈱木田商店,2005/07/14,10,346,1,0092,パン－－－－－－－－－－－－－－－－－－－００９２,1,8280,8280
0002,㈱木田商店,2005/07/14,10,346,2,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,18,7030,126540
0002,㈱木田商店,2005/07/14,10,346,3,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,20,7170,143400
0002,㈱木田商店,2005/07/14,10,346,4,0002,果物－－－－－－－－－－－－－－－－－－－０００２,16,3040,48640
0039,株式会社森本商店,2005/08/05,10,347,1,0069,米－－－－－－－－－－－－－－－－－－－－００６９,5,5150,25750
0039,株式会社森本商店,2005/08/05,10,347,2,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,11,10010,110110
0039,株式会社森本商店,2005/08/05,10,347,3,0039,パン－－－－－－－－－－－－－－－－－－－００３９,1,7440,7440
0017,株式会社丸中システム,2005/07/21,10,348,1,0065,パン－－－－－－－－－－－－－－－－－－－００６５,12,2630,31560
0017,株式会社丸中システム,2005/07/21,10,348,2,0043,家具－－－－－－－－－－－－－－－－－－－００４３,12,4200,50400
0017,株式会社丸中システム,2005/07/21,10,348,3,0022,野菜－－－－－－－－－－－－－－－－－－－００２２,6,9670,58020
0017,株式会社丸中システム,2005/07/21,10,348,4,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,6,4750,28500
0019,㈱鈴木商事,2005/07/18,10,349,1,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,4,650,2600
0019,㈱鈴木商事,2005/07/18,10,349,2,0062,家具－－－－－－－－－－－－－－－－－－－００６２,3,2850,8550
0019,㈱鈴木商事,2005/07/18,10,349,3,0009,果物－－－－－－－－－－－－－－－－－－－０００９,17,5300,90100
0019,㈱鈴木商事,2005/07/18,10,349,4,0082,発泡酒－－－－－－－－－－－－－－－－－－００８２,14,8130,113820
0015,㈱尾鈴商事,2005/06/21,10,350,1,0001,スポーツ用品－－－－－－－－－－－－－－－０００１,2,8820,17640
0023,本木商事株式会社,2005/07/02,10,351,1,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,13,7030,91390
0023,本木商事株式会社,2005/07/02,10,351,2,0072,一般衣類－－－－－－－－－－－－－－－－－００７２,11,7050,77550
0023,本木商事株式会社,2005/07/02,10,351,3,0083,電池－－－－－－－－－－－－－－－－－－－００８３,15,2350,35250
0023,本木商事株式会社,2005/07/02,10,351,4,0051,魚－－－－－－－－－－－－－－－－－－－－００５１,1,2250,2250
0037,株式会社浦安コーポレーション,2005/08/14,10,352,1,0087,ドリンク－－－－－－－－－－－－－－－－－００８７,2,4030,8060
0037,株式会社浦安コーポレーション,2005/08/14,10,352,2,0043,家具－－－－－－－－－－－－－－－－－－－００４３,11,4200,46200
0037,株式会社浦安コーポレーション,2005/08/14,10,352,3,0026,貴金属－－－－－－－－－－－－－－－－－－００２６,13,9760,126880
0019,㈱鈴木商事,2005/08/25,10,353,1,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,16,7170,114720
0019,㈱鈴木商事,2005/08/25,10,353,2,0083,電池－－－－－－－－－－－－－－－－－－－００８３,3,2350,7050
0019,㈱鈴木商事,2005/08/25,10,353,3,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,13,650,8450
